scientificName,decimalLongitude,decimalLatitude,year,month,day,basisOfRecord
Betula alleghaniensis Britton,-70.221795,43.783488,2021,1,3,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.347123,44.156322,2021,1,5,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.128158,43.725482,2021,1,5,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.159589,44.520899,2021,1,10,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.230103,44.821563,2021,1,19,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-67.13333,44.71375,2021,1,26,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.300406,43.768211,2021,2,12,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.913037,43.944141,2021,2,13,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.932998,43.936028,2021,2,23,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.358362,43.710178,2021,2,28,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.433555,43.687026,2021,3,20,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.866724,44.918098,2021,3,31,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.813435,44.469935,2021,3,29,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.148803,44.678662,2021,3,31,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.147625,44.6633,2021,3,31,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.25985,43.825847,2021,4,1,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.947206,44.232963,2021,4,3,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.386218,43.528924,2021,4,9,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.045717,44.80143,2021,4,10,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.638978,46.090306,2021,5,30,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.294678,43.834737,2021,5,9,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.205945,44.351205,2021,5,11,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.072212,43.830326,2021,5,23,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.663426,44.00202,2021,5,29,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.058429,46.361083,2021,6,28,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.054328,46.3635,2021,6,28,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.441864,45.764422,2021,6,3,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.933272,44.463058,2021,6,3,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.93325,44.463014,2021,6,3,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.93498,44.463089,2021,6,3,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.384422,44.448513,2021,6,7,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.186103,44.331895,2021,6,10,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.20508,44.351799,2021,6,30,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.205244,44.352007,2021,6,30,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.205238,44.351975,2021,6,30,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.732162,45.992325,2021,7,15,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.732192,45.991608,2021,7,15,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.360778,45.772761,2021,7,5,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.253103,44.319895,2021,7,1,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.041554,45.994685,2021,7,1,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.709484,44.203502,2021,7,4,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.622028,43.896173,2021,7,5,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.557198,44.227131,2021,7,1,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.207027,44.371033,2021,7,6,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.081392,44.717503,2021,7,12,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.246994,44.31588,2021,7,17,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-67.593205,44.478202,2021,7,17,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.061725,44.337472,2021,7,19,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.204722,44.351862,2021,7,22,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.881858,44.359372,2021,7,22,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.555987,45.220075,2021,7,29,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.341164,44.316525,2021,7,31,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.191803,44.332613,2021,7,28,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.088666,44.627438,2021,8,8,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.475183,44.434447,2021,8,12,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.304047,44.771042,2021,8,21,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.079339,44.457594,2021,8,22,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.454658,44.676267,2021,8,22,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.371172,44.303749,2021,8,26,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.926615,44.809095,2021,9,20,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.721516,44.733527,2021,9,26,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.672272,44.897233,2021,9,12,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.209549,44.363836,2021,9,12,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.210815,44.368035,2021,9,12,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.573616,44.795033,2021,9,26,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-67.77292,44.895738,2021,10,27,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.340876,44.654771,2021,10,17,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.374986,46.322916,2021,10,3,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.357437,44.865719,2021,10,1,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.496742,44.252475,2021,10,1,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.548683,45.619287,2021,10,7,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.765945,44.299994,2021,10,10,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.676788,44.90217,2021,10,14,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.557708,44.227064,2021,10,16,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.932452,43.936012,2021,10,18,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.086136,43.818517,2021,10,18,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.252688,44.40908,2021,10,24,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.547125,43.341989,2021,12,26,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.09938,45.992762,2020,2,23,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.314689,46.05876,2020,2,24,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.305788,43.605948,2020,3,23,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.088238,44.249633,2020,4,10,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.933061,44.561222,2020,4,5,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.090361,45.1248,2020,4,24,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.259797,43.825867,2020,5,13,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.26197,43.826397,2020,5,24,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.951843,43.79518,2020,5,30,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.631237,44.222978,2020,5,30,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.641188,44.587512,2020,5,31,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.641022,44.586997,2020,5,31,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.600977,44.311235,2020,6,7,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.268587,43.818653,2020,6,13,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.535652,45.492709,2020,7,3,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.535652,45.492709,2020,7,3,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.521504,45.48999,2020,7,14,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.281507,44.334406,2020,7,18,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.504111,44.382261,2020,7,24,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.510917,45.489267,2020,8,3,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.208594,44.362395,2020,8,6,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-67.677684,44.984931,2020,8,9,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.016772,44.422043,2020,8,12,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.016751,44.422193,2020,8,12,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.531798,45.496081,2020,8,5,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.530444,45.49586,2020,8,5,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.531173,45.494092,2020,8,7,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.545275,45.482955,2020,8,9,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.773006,44.616938,2020,8,21,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.31091,43.765249,2020,8,25,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.310027,43.763902,2020,8,25,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.243011,46.194823,2020,8,7,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.243169,46.194894,2020,8,6,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.381592,44.191417,2020,9,4,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.678203,44.005532,2020,9,11,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.450075,43.686483,2020,9,15,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.229753,43.79163,2020,9,20,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.150452,44.673918,2020,9,22,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.148425,44.675125,2020,9,22,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.574592,43.639255,2020,10,9,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.148929,44.674279,2020,10,14,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-70.148349,44.673627,2020,10,14,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-69.799164,45.258669,2020,10,3,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.370517,44.355724,2020,10,15,HUMAN_OBSERVATION
Betula alleghaniensis Britton,-68.316394,44.294309,2020,10,16,HUMAN_OBSERVATION
