scientificName,decimalLongitude,decimalLatitude,year,month,day,basisOfRecord
Betula papyrifera Marshall,-70.093414,43.880317,2021,1,9,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.162453,44.52068,2021,1,10,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.636587,44.556207,2021,1,11,HUMAN_OBSERVATION
Betula papyrifera Marshall,-67.06661,44.85796,2021,1,12,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.264467,43.59293,2021,1,22,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.469287,43.518952,2021,1,22,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.848175,44.040908,2021,1,23,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.806079,43.882881,2021,2,13,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.41452,43.40578,2021,2,15,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.79891,43.737538,2021,3,20,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.304648,43.742402,2021,3,1,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.99236,44.493767,2021,3,4,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.201701,44.390687,2021,3,17,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.20177,44.390697,2021,3,17,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.470558,43.734466,2021,3,23,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.044822,44.800403,2021,4,10,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.263345,44.856638,2021,5,5,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.933364,44.462844,2021,6,3,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.343765,44.234974,2021,6,4,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.211228,44.36802,2021,6,5,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.061883,44.340133,2021,6,12,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.059355,44.337782,2021,6,12,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.671436,44.152,2021,6,19,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.659875,43.872137,2021,6,23,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.245895,44.393008,2021,6,29,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.205673,44.352543,2021,6,30,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.206216,44.353786,2021,6,30,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.206043,44.353172,2021,6,30,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.207824,44.361772,2021,6,30,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.206692,44.355671,2021,6,30,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.207804,44.361561,2021,6,30,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.073714,45.978053,2021,7,11,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.061544,44.337491,2021,7,2,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.183975,44.329647,2021,7,4,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.706061,44.006069,2021,7,12,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.819213,45.476558,2021,7,18,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.210575,44.365518,2021,7,19,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.371431,44.304919,2021,7,25,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.01448,45.32148,2021,7,19,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.193763,45.154482,2021,7,24,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.016607,43.776389,2021,7,1,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.685433,44.81401,2021,8,23,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.727703,44.738466,2021,8,2,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.29113,44.088692,2021,8,14,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.50175,45.479049,2021,8,8,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.946033,44.764625,2021,8,23,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.273335,44.338556,2021,9,21,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.194982,44.393225,2021,9,23,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.273335,44.338556,2021,9,24,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.927353,44.808919,2021,9,20,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.190061,44.334404,2021,9,21,HUMAN_OBSERVATION
Betula papyrifera Marshall,-67.151475,44.696228,2021,10,29,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.444099,44.624853,2021,10,17,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.098258,44.168547,2021,10,5,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.886315,45.824796,2021,10,2,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.559325,44.227108,2021,10,16,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.301856,44.238387,2021,10,12,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.205733,43.643802,2021,10,27,HUMAN_OBSERVATION
Betula papyrifera Marshall,-67.460034,44.598836,2021,11,4,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.193142,43.797693,2021,11,23,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.099403,45.992801,2020,2,23,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.399875,46.061957,2020,2,24,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.489469,46.017724,2020,2,24,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.089732,45.124593,2020,4,23,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.698233,43.399237,2020,5,8,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.421085,43.681653,2020,5,16,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.98556,43.880257,2020,5,26,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.506215,44.567608,2020,6,4,HUMAN_OBSERVATION
Betula papyrifera Marshall,-67.162339,45.108599,2020,6,25,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.91207,45.642048,2020,7,5,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.912501,45.642021,2020,7,5,HUMAN_OBSERVATION
Betula papyrifera Marshall,-67.790444,44.546217,2020,7,12,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.289865,44.329373,2020,7,18,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.149814,44.232089,2020,8,4,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.531014,45.494231,2020,8,4,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.542165,45.757072,2020,8,8,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.529464,44.547349,2020,8,25,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.623952,43.410754,2020,8,27,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.344208,44.313972,2020,8,28,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.145683,44.665742,2020,9,1,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.678158,44.005425,2020,9,11,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.357725,43.939475,2020,9,12,HUMAN_OBSERVATION
