scientificName,decimalLongitude,decimalLatitude,year,month,day,basisOfRecord
Picea mariana (Mill.) Britton et al.,-66.96107,44.81187,2021,1,15,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-69.442847,45.775892,2021,5,20,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-68.723342,44.86935,2021,5,19,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-68.72628,44.86948,2021,5,19,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-68.363062,44.254704,2021,5,30,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-69.572783,45.978061,2021,6,11,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-68.723463,44.870255,2021,6,12,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-68.650313,44.025406,2021,6,17,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-68.725813,44.86995,2021,7,19,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-69.574775,43.879497,2021,7,25,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-68.656508,44.014008,2021,7,31,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-68.290551,44.376921,2021,8,29,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-68.21907,44.323467,2021,10,15,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-68.315887,44.23183,2021,10,13,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-68.052972,44.350947,2021,10,15,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-68.851302,45.919455,2021,10,14,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-68.725175,44.8708,2021,11,8,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-68.311768,44.400471,2021,11,19,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-68.724292,44.868808,2021,11,11,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-69.83116,45.282071,2020,6,28,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-70.741162,45.385667,2020,7,10,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-68.640826,44.175244,2020,8,10,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-69.077893,44.253318,2020,8,28,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-69.838382,44.475845,2020,8,26,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-70.531517,44.758372,2020,9,25,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-70.485978,44.93572,2020,10,4,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-68.061458,44.333275,2020,10,11,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-70.073014,45.205894,2020,10,4,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-70.331017,45.033614,2020,10,8,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-70.507212,44.934822,2020,10,23,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-70.668965,43.442218,2019,5,22,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-67.400637,44.660933,2019,6,6,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-70.487542,44.950863,2019,6,9,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-70.623318,45.286508,2019,6,22,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-67.894284,44.432325,2019,6,25,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-69.062594,46.010439,2019,6,21,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-70.932877,44.338192,2019,7,1,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-68.653024,44.144469,2019,7,14,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-70.993385,44.917328,2019,7,14,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-68.318266,44.232531,2019,7,30,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-66.960296,44.811457,2019,8,20,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-66.960473,44.811413,2019,8,20,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-66.960596,44.811385,2019,8,20,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-66.961034,44.811676,2019,8,20,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-66.960664,44.81157,2019,8,20,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-66.96067,44.81151,2019,8,20,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-68.052867,44.34937,2019,9,28,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-68.724249,44.870656,2019,10,1,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-68.724442,44.869203,2019,10,2,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-70.481525,43.541368,2018,5,23,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-69.567809,44.148758,2018,7,8,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-67.81041,44.608803,2018,7,24,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-68.726812,44.868138,2018,8,3,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-68.135467,46.996467,2018,8,12,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-68.64972,44.012161,2018,8,13,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-68.188087,44.334007,2018,8,14,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-69.567392,44.148706,2017,6,19,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-68.066567,44.380205,2017,6,22,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-69.838797,44.475588,2017,8,13,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-68.740755,44.87049,2017,8,14,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-68.241749,44.342635,2017,9,21,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-69.445469,45.253783,2016,8,5,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-69.781012,44.388555,2016,9,21,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-69.784491,44.396179,2016,9,22,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-69.649628,44.502552,2016,9,22,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-69.786307,44.387382,2016,9,21,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-69.784491,44.396179,2016,9,21,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-69.722625,44.453087,2016,9,22,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-69.781892,44.38715,2016,9,22,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-68.059358,44.358121,2015,6,15,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-68.316121,44.231868,2015,7,20,HUMAN_OBSERVATION
Picea mariana (Mill.) Britton et al.,-69.886997,44.526454,2015,7,31,HUMAN_OBSERVATION
