scientificName,decimalLongitude,decimalLatitude,year,month,day,basisOfRecord
Pinus strobus L.,-70.214776,44.100351,2021,1,4,HUMAN_OBSERVATION
Pinus strobus L.,-68.203147,44.555107,2021,1,5,HUMAN_OBSERVATION
Pinus strobus L.,-70.241373,43.668699,2021,1,6,HUMAN_OBSERVATION
Pinus strobus L.,-70.16011,44.520921,2021,1,10,HUMAN_OBSERVATION
Pinus strobus L.,-69.869445,44.360387,2021,1,15,HUMAN_OBSERVATION
Pinus strobus L.,-69.600747,44.093608,2021,1,17,HUMAN_OBSERVATION
Pinus strobus L.,-70.304,43.966632,2021,1,4,HUMAN_OBSERVATION
Pinus strobus L.,-69.950002,43.900906,2021,1,3,HUMAN_OBSERVATION
Pinus strobus L.,-70.469781,43.517871,2021,1,22,HUMAN_OBSERVATION
Pinus strobus L.,-70.469781,43.517871,2021,1,22,HUMAN_OBSERVATION
Pinus strobus L.,-69.846528,44.0414,2021,1,23,HUMAN_OBSERVATION
Pinus strobus L.,-70.15583,44.666738,2021,1,21,HUMAN_OBSERVATION
Pinus strobus L.,-70.413979,43.419115,2021,1,25,HUMAN_OBSERVATION
Pinus strobus L.,-70.529097,44.021647,2021,1,30,HUMAN_OBSERVATION
Pinus strobus L.,-70.546422,43.334088,2021,1,27,HUMAN_OBSERVATION
Pinus strobus L.,-70.546344,43.334119,2021,1,27,HUMAN_OBSERVATION
Pinus strobus L.,-69.922087,43.922976,2021,2,1,HUMAN_OBSERVATION
Pinus strobus L.,-70.297653,43.773242,2021,2,3,HUMAN_OBSERVATION
Pinus strobus L.,-70.283937,43.57945,2021,2,14,HUMAN_OBSERVATION
Pinus strobus L.,-70.250734,43.668196,2021,2,24,HUMAN_OBSERVATION
Pinus strobus L.,-69.932395,43.924472,2021,2,25,HUMAN_OBSERVATION
Pinus strobus L.,-70.555697,43.333805,2021,2,15,HUMAN_OBSERVATION
Pinus strobus L.,-70.168355,43.950903,2021,3,20,HUMAN_OBSERVATION
Pinus strobus L.,-70.304952,43.740875,2021,3,1,HUMAN_OBSERVATION
Pinus strobus L.,-68.237019,46.072198,2021,3,4,HUMAN_OBSERVATION
Pinus strobus L.,-68.992355,44.493772,2021,3,4,HUMAN_OBSERVATION
Pinus strobus L.,-70.33715,43.580528,2021,3,6,HUMAN_OBSERVATION
Pinus strobus L.,-69.919836,43.933965,2021,3,8,HUMAN_OBSERVATION
Pinus strobus L.,-70.669733,43.107788,2021,3,9,HUMAN_OBSERVATION
Pinus strobus L.,-68.666415,44.91266,2021,3,10,HUMAN_OBSERVATION
Pinus strobus L.,-70.451443,43.685498,2021,3,16,HUMAN_OBSERVATION
Pinus strobus L.,-70.452452,43.683991,2021,3,16,HUMAN_OBSERVATION
Pinus strobus L.,-70.452929,43.682265,2021,3,17,HUMAN_OBSERVATION
Pinus strobus L.,-68.943135,44.4303,2021,3,24,HUMAN_OBSERVATION
Pinus strobus L.,-70.148889,44.678617,2021,3,31,HUMAN_OBSERVATION
Pinus strobus L.,-69.134132,44.513539,2021,4,11,HUMAN_OBSERVATION
Pinus strobus L.,-68.045167,44.800372,2021,4,10,HUMAN_OBSERVATION
Pinus strobus L.,-69.92623,43.933248,2021,4,21,HUMAN_OBSERVATION
Pinus strobus L.,-68.253557,44.337784,2021,4,24,HUMAN_OBSERVATION
Pinus strobus L.,-68.180531,44.331499,2021,4,26,HUMAN_OBSERVATION
Pinus strobus L.,-70.454049,43.682793,2021,4,27,HUMAN_OBSERVATION
Pinus strobus L.,-69.620042,46.079464,2021,5,27,HUMAN_OBSERVATION
Pinus strobus L.,-69.501847,46.086558,2021,5,27,HUMAN_OBSERVATION
Pinus strobus L.,-69.928741,43.959579,2021,5,1,HUMAN_OBSERVATION
Pinus strobus L.,-69.972481,43.916996,2021,5,2,HUMAN_OBSERVATION
Pinus strobus L.,-70.294085,43.963287,2021,5,4,HUMAN_OBSERVATION
Pinus strobus L.,-70.846439,43.300643,2021,5,6,HUMAN_OBSERVATION
Pinus strobus L.,-70.643734,43.251275,2021,5,7,HUMAN_OBSERVATION
Pinus strobus L.,-70.387657,44.15983,2021,5,7,HUMAN_OBSERVATION
Pinus strobus L.,-69.070264,44.219341,2021,5,8,HUMAN_OBSERVATION
Pinus strobus L.,-68.19075,46.847275,2021,5,10,HUMAN_OBSERVATION
Pinus strobus L.,-68.229345,44.378082,2021,5,11,HUMAN_OBSERVATION
Pinus strobus L.,-68.210545,44.36145,2021,5,11,HUMAN_OBSERVATION
Pinus strobus L.,-69.154434,44.347488,2021,5,16,HUMAN_OBSERVATION
Pinus strobus L.,-68.934919,44.463702,2021,5,14,HUMAN_OBSERVATION
Pinus strobus L.,-68.728295,44.86655,2021,5,19,HUMAN_OBSERVATION
Pinus strobus L.,-69.88871,43.800687,2021,5,20,HUMAN_OBSERVATION
Pinus strobus L.,-70.55379,43.334522,2021,5,21,HUMAN_OBSERVATION
Pinus strobus L.,-70.557181,43.336639,2021,5,23,HUMAN_OBSERVATION
Pinus strobus L.,-68.31949,44.258959,2021,5,30,HUMAN_OBSERVATION
Pinus strobus L.,-70.47163,43.53235,2021,5,30,HUMAN_OBSERVATION
Pinus strobus L.,-70.159693,45.109769,2021,5,27,HUMAN_OBSERVATION
Pinus strobus L.,-70.209511,44.150422,2021,5,31,HUMAN_OBSERVATION
Pinus strobus L.,-70.209472,44.150444,2021,5,31,HUMAN_OBSERVATION
Pinus strobus L.,-68.934539,44.463397,2021,5,27,HUMAN_OBSERVATION
Pinus strobus L.,-68.93498,44.463089,2021,5,27,HUMAN_OBSERVATION
Pinus strobus L.,-68.93498,44.463089,2021,5,27,HUMAN_OBSERVATION
Pinus strobus L.,-68.93498,44.463089,2021,5,20,HUMAN_OBSERVATION
Pinus strobus L.,-69.059997,46.357881,2021,6,28,HUMAN_OBSERVATION
Pinus strobus L.,-69.592492,45.934128,2021,6,17,HUMAN_OBSERVATION
Pinus strobus L.,-68.246018,44.408681,2021,6,2,HUMAN_OBSERVATION
Pinus strobus L.,-68.942995,44.431795,2021,6,4,HUMAN_OBSERVATION
Pinus strobus L.,-70.267155,43.682283,2021,6,9,HUMAN_OBSERVATION
Pinus strobus L.,-70.296303,43.700436,2021,6,10,HUMAN_OBSERVATION
Pinus strobus L.,-70.549038,43.34581,2021,6,12,HUMAN_OBSERVATION
Pinus strobus L.,-69.493301,43.993645,2021,6,12,HUMAN_OBSERVATION
Pinus strobus L.,-70.721138,43.099445,2021,6,15,HUMAN_OBSERVATION
Pinus strobus L.,-70.159005,43.858458,2021,6,15,HUMAN_OBSERVATION
Pinus strobus L.,-68.225692,44.465422,2021,6,16,HUMAN_OBSERVATION
Pinus strobus L.,-70.547775,43.34663,2021,6,18,HUMAN_OBSERVATION
Pinus strobus L.,-69.525047,44.03375,2021,6,17,HUMAN_OBSERVATION
Pinus strobus L.,-70.143669,44.671305,2021,6,20,HUMAN_OBSERVATION
Pinus strobus L.,-68.59766,46.952703,2021,6,13,HUMAN_OBSERVATION
Pinus strobus L.,-69.914487,43.900108,2021,6,25,HUMAN_OBSERVATION
Pinus strobus L.,-68.2508,44.325428,2021,6,25,HUMAN_OBSERVATION
Pinus strobus L.,-70.674414,43.089222,2021,6,25,HUMAN_OBSERVATION
Pinus strobus L.,-70.245879,44.393001,2021,6,29,HUMAN_OBSERVATION
Pinus strobus L.,-68.203476,44.36528,2021,6,30,HUMAN_OBSERVATION
Pinus strobus L.,-68.205434,44.352194,2021,6,30,HUMAN_OBSERVATION
Pinus strobus L.,-69.92269,43.892382,2021,6,30,HUMAN_OBSERVATION
