scientificName,decimalLongitude,decimalLatitude,year,month,day,basisOfRecord
Tsuga canadensis (L.) Carrière,-70.406138,43.542686,2021,1,1,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.147147,44.679767,2021,1,3,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.347123,44.156322,2021,1,3,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.814469,44.075354,2021,1,6,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.257355,44.306828,2021,1,9,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.15988,44.520879,2021,1,10,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.304,43.966632,2021,1,21,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.470575,43.518368,2021,1,6,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.156598,44.667371,2021,1,24,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-67.57055,44.828965,2021,1,25,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.259537,43.822072,2021,1,28,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-69.92306,43.933017,2021,1,28,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.529245,44.021542,2021,1,30,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.975489,43.420428,2021,2,4,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.294832,43.777526,2021,2,10,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-69.932888,43.935828,2021,2,19,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.168355,43.950903,2021,3,20,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.304262,43.741022,2021,3,1,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.45343,43.683024,2021,3,16,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.22322,44.372735,2021,3,17,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-69.030196,44.446867,2021,3,27,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.148297,44.67818,2021,3,31,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.147897,44.677851,2021,3,31,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.148581,44.678477,2021,3,31,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.148811,44.67868,2021,3,31,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.634728,44.016506,2021,4,2,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.14835,44.678161,2021,4,6,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.969728,44.220766,2021,4,3,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.039034,43.894083,2021,4,11,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.453875,43.682901,2021,4,27,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.43967,44.676493,2021,5,30,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-69.784348,44.22589,2021,5,9,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-69.694069,45.926361,2021,5,24,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.195427,43.778427,2021,5,2,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.643689,43.251433,2021,5,7,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.410004,43.900002,2021,5,14,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.686321,43.971638,2021,5,15,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.685262,43.9722,2021,5,17,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.349907,43.785595,2021,5,19,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.554944,43.342257,2021,5,21,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.262383,43.820162,2021,5,21,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.707562,44.049983,2021,5,24,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-69.493301,43.993618,2021,5,28,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.396296,44.137592,2021,5,29,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.362243,44.259125,2021,5,31,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-69.059014,46.356911,2021,6,28,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-69.544036,45.859681,2021,6,9,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.207916,44.362175,2021,6,5,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.217272,43.612177,2021,6,6,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-69.252782,44.506174,2021,6,12,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-69.742856,43.945188,2021,6,13,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-69.743221,43.945143,2021,6,13,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-69.002135,44.403514,2021,6,14,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.732666,43.110794,2021,6,15,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.780416,43.819905,2021,6,15,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.482155,43.541205,2021,6,19,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-69.291917,45.264305,2021,6,24,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-69.285422,45.26125,2021,6,24,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-69.888887,44.783345,2021,6,25,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.547112,43.345668,2021,6,21,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.208068,44.36258,2021,6,24,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.674414,43.089222,2021,6,25,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.245911,44.393141,2021,6,29,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.205085,44.35202,2021,6,30,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.204346,44.351551,2021,6,30,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.208518,44.355509,2021,6,30,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.205093,44.351841,2021,6,30,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.20647,44.360035,2021,6,30,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.205032,44.351767,2021,6,30,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.207838,44.36216,2021,6,30,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.20796,44.3615,2021,6,30,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.146378,44.666237,2021,6,19,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-69.090582,44.759573,2021,7,1,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-69.976508,44.743337,2021,7,4,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.622062,43.895556,2021,7,4,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.2095,44.36351,2021,7,6,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.204897,44.374582,2021,7,6,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.208632,44.362538,2021,7,6,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.706689,44.006002,2021,7,12,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-69.513205,44.043245,2021,7,12,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-69.113419,44.258957,2021,7,16,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.897263,44.193676,2021,7,16,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-69.898827,44.281616,2021,7,17,HUMAN_OBSERVATION
