scientificName,decimalLongitude,decimalLatitude,year,month,day,basisOfRecord,species
Pinus strobus L.,-68.203147,44.555107,2021,1,5,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.16011,44.520921,2021,1,10,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.15583,44.666738,2021,1,21,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-68.237019,46.072198,2021,3,4,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-68.666415,44.91266,2021,3,10,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.148889,44.678617,2021,3,31,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-69.134132,44.513539,2021,4,11,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-68.045167,44.800372,2021,4,10,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-69.620042,46.079464,2021,5,27,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-69.501847,46.086558,2021,5,27,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-68.19075,46.847275,2021,5,10,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-68.728295,44.86655,2021,5,19,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.159693,45.109769,2021,5,27,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-69.059997,46.357881,2021,6,28,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-69.592492,45.934128,2021,6,17,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.143669,44.671305,2021,6,20,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-68.59766,46.952703,2021,6,13,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-69.08899,44.759208,2021,6,30,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-69.696975,45.927872,2021,7,29,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-69.620506,46.080539,2021,7,27,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-69.975892,44.743845,2021,7,4,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-69.171939,45.072059,2021,7,19,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-69.002369,45.155517,2021,7,22,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-68.986256,45.302435,2021,7,27,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-68.964765,45.831003,2021,7,31,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-68.087591,44.628404,2021,8,8,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-69.212289,45.277991,2021,8,12,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-68.552737,45.344759,2021,8,14,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-69.134169,44.51384,2021,8,15,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-69.414625,45.376373,2021,8,26,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-68.444455,44.678425,2021,8,27,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-69.414625,45.376373,2021,8,26,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-68.727424,44.73872,2021,8,31,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-68.619745,45.86343,2021,8,31,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-67.519181,44.759675,2021,9,28,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-68.623484,44.611889,2021,9,7,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.237076,44.59251,2021,9,12,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-68.668126,44.908747,2021,9,18,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-68.765633,44.82698,2021,9,27,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-68.295819,44.507772,2021,10,5,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-68.548163,45.618187,2021,10,7,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-68.886538,45.824876,2021,10,2,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-69.134275,44.51385,2021,10,31,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-68.728988,44.866161,2021,11,8,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-68.656705,44.902866,2021,11,17,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-68.834586,44.663583,2021,11,14,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-68.587356,46.025973,2020,2,24,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-69.178354,44.684275,2020,4,4,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-69.642625,44.543581,2020,4,16,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-68.232743,44.535644,2020,4,23,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-70.44856,45.142475,2020,5,4,HUMAN_OBSERVATION,Pinus strobus
Pinus strobus L.,-68.778372,44.830187,2020,5,6,HUMAN_OBSERVATION,Pinus strobus
Abies balsamea (L.) Mill.,-68.203147,44.555107,2021,1,5,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-70.159595,44.520981,2021,1,10,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-68.666135,44.906015,2021,3,10,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-68.669594,44.914125,2021,3,10,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-68.045555,44.801025,2021,4,10,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-68.432941,46.015903,2021,5,19,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-69.443608,45.778538,2021,5,20,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-68.004539,46.671631,2021,5,11,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-69.561305,45.573182,2021,6,14,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-67.96191,46.098289,2021,6,16,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-68.477967,46.108536,2021,6,11,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-67.831062,46.092797,2021,6,15,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-70.081314,44.6725,2021,6,19,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-68.600722,46.941992,2021,6,14,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-69.088411,44.759271,2021,6,30,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-68.912772,45.902213,2021,7,15,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-68.911978,45.915087,2021,7,15,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-69.077645,45.974966,2021,7,9,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-68.852297,46.097906,2021,8,1,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-68.060637,44.609171,2021,8,10,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-68.552961,45.344278,2021,8,14,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-69.50191,45.478882,2021,8,8,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-69.501909,45.468281,2021,8,9,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea var. balsamea,-69.414625,45.376373,2021,8,26,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-68.661186,44.90794,2021,9,18,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-68.666556,44.905922,2021,9,19,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-70.362197,45.090461,2021,9,26,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-68.961635,45.907932,2021,10,12,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-68.548837,45.6174,2021,10,7,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-68.892521,45.827732,2021,10,2,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-68.295855,44.507974,2021,10,7,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-68.999687,45.887447,2021,10,12,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-68.959439,45.908867,2021,10,12,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-69.41338,45.378346,2021,10,15,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-69.216665,45.318291,2021,10,15,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-68.711511,44.908692,2021,11,19,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-69.134096,44.513786,2021,12,12,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-68.236021,46.052659,2020,2,23,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-68.39992,46.061989,2020,2,24,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-68.45758,46.363577,2020,2,26,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-69.177935,44.684311,2020,4,4,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-69.089373,45.12451,2020,4,23,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-69.090361,45.1248,2020,4,24,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-69.090097,45.108004,2020,4,24,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-69.076307,45.121792,2020,4,25,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-68.1576,44.550592,2020,6,18,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-68.163505,44.558425,2020,6,18,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-69.716467,45.700227,2020,7,1,HUMAN_OBSERVATION,Abies balsamea
Abies balsamea (L.) Mill.,-69.223427,45.57677,2020,7,2,HUMAN_OBSERVATION,Abies balsamea
