scientificName,decimalLongitude,decimalLatitude,year,month,day,basisOfRecord
Abies balsamea (L.) Mill.,-70.128905,43.724913,2021,1,5,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-68.203147,44.555107,2021,1,5,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-70.159595,44.520981,2021,1,10,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-67.06728,44.8575,2021,1,17,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-70.413959,43.420122,2021,1,25,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-70.416509,43.418648,2021,1,25,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-70.236098,43.737849,2021,1,20,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-70.221572,43.85635,2021,1,31,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-69.932995,43.935698,2021,2,19,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-70.168355,43.950903,2021,3,20,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-70.449312,43.672224,2021,3,1,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-69.918981,43.934842,2021,3,8,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-68.992332,44.493657,2021,3,8,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-68.666135,44.906015,2021,3,10,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-68.669594,44.914125,2021,3,10,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-68.943168,44.429931,2021,3,24,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-68.813353,44.470034,2021,3,29,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-68.045555,44.801025,2021,4,10,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-68.293936,44.474189,2021,4,23,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-69.127167,44.04258,2021,4,29,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-69.954865,43.888238,2021,4,30,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-68.432941,46.015903,2021,5,19,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-69.443608,45.778538,2021,5,20,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-70.300216,43.583644,2021,5,5,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-68.004539,46.671631,2021,5,11,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-68.935106,44.463481,2021,5,14,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-70.684917,43.778029,2021,5,20,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-68.934427,44.463355,2021,5,19,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-68.77586,44.354406,2021,5,22,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-68.710364,44.203809,2021,5,23,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-68.329367,44.260021,2021,5,30,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-68.93498,44.463089,2021,5,14,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-68.93498,44.463089,2021,5,27,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-68.942973,44.431566,2021,6,4,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-68.061517,44.338792,2021,6,5,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-68.06215,44.338795,2021,6,5,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-70.215315,43.604328,2021,6,6,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-70.216667,43.611276,2021,6,6,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-68.710664,44.203886,2021,6,10,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-68.062031,44.340182,2021,6,12,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-70.660712,43.812517,2021,6,12,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-70.546399,43.344189,2021,6,12,HUMAN_OBSERVATION
Abies balsamea (L.) Mill.,-70.901397,44.602446,2021,6,13,HUMAN_OBSERVATION
