scientificName,decimalLongitude,decimalLatitude,year,month,day,basisOfRecord
Acer rubrum L.,-69.173054,45.110951,2024,1,21,HUMAN_OBSERVATION
Acer rubrum L.,-70.450709,43.679839,2024,2,6,HUMAN_OBSERVATION
Acer rubrum L.,-70.205831,44.09305,2024,4,13,HUMAN_OBSERVATION
Acer rubrum L.,-70.773147,43.185078,2024,4,14,HUMAN_OBSERVATION
Acer rubrum L.,-68.636714,44.87149,2024,4,14,HUMAN_OBSERVATION
Acer rubrum L.,-70.982613,44.009583,2024,4,15,HUMAN_OBSERVATION
Acer rubrum L.,-68.717357,44.846195,2024,4,16,HUMAN_OBSERVATION
Acer rubrum L.,-70.52153,44.163703,2024,4,16,HUMAN_OBSERVATION
Acer rubrum L.,-70.628633,43.841435,2024,4,16,HUMAN_OBSERVATION
Acer rubrum L.,-69.959997,43.944038,2024,4,17,HUMAN_OBSERVATION
Acer rubrum L.,-69.332466,44.609084,2024,4,17,HUMAN_OBSERVATION
Acer rubrum L.,-68.217225,44.3895,2024,4,15,HUMAN_OBSERVATION
Acer rubrum L.,-69.083587,44.200324,2024,4,19,HUMAN_OBSERVATION
Acer rubrum L.,-68.713415,44.652579,2024,4,21,HUMAN_OBSERVATION
Acer rubrum L.,-70.502913,43.780264,2024,4,23,HUMAN_OBSERVATION
Acer rubrum L.,-70.227522,44.510292,2024,4,18,HUMAN_OBSERVATION
Acer rubrum L.,-70.295218,44.062397,2024,4,18,HUMAN_OBSERVATION
Acer rubrum L.,-68.677047,44.8988,2024,4,23,HUMAN_OBSERVATION
Acer rubrum L.,-68.239838,44.344093,2024,4,24,HUMAN_OBSERVATION
Acer rubrum L.,-70.893166,43.444439,2024,4,27,HUMAN_OBSERVATION
Acer rubrum L.,-68.19602,44.33828,2024,4,25,HUMAN_OBSERVATION
Acer rubrum L.,-69.383856,44.612489,2024,4,27,HUMAN_OBSERVATION
Acer rubrum L.,-68.047478,44.364872,2024,4,24,HUMAN_OBSERVATION
Acer rubrum L.,-68.305003,44.277513,2024,4,30,HUMAN_OBSERVATION
Acer rubrum L.,-68.502465,46.772116,2024,4,30,HUMAN_OBSERVATION
Acer rubrum L.,-70.684729,44.5502,2024,4,26,HUMAN_OBSERVATION
Acer rubrum L.,-70.529778,43.966111,2024,4,23,HUMAN_OBSERVATION
Acer rubrum L.,-70.647958,43.796606,2024,4,23,HUMAN_OBSERVATION
Acer rubrum L.,-68.27173,44.320503,2024,5,3,HUMAN_OBSERVATION
Acer rubrum L.,-68.210188,44.35693,2024,5,4,HUMAN_OBSERVATION
Acer rubrum L.,-70.364733,43.665217,2024,5,3,HUMAN_OBSERVATION
Acer rubrum L.,-68.210587,44.359958,2024,5,4,HUMAN_OBSERVATION
Acer rubrum L.,-70.440757,43.507552,2024,5,7,HUMAN_OBSERVATION
Acer rubrum L.,-69.368553,44.244958,2024,5,7,HUMAN_OBSERVATION
Acer rubrum L.,-70.527337,44.16552,2024,5,9,HUMAN_OBSERVATION
Acer rubrum L.,-69.116703,44.269993,2024,5,12,HUMAN_OBSERVATION
Acer rubrum L.,-68.945192,45.84255,2024,5,19,HUMAN_OBSERVATION
Acer rubrum L.,-68.223325,44.353477,2024,5,17,HUMAN_OBSERVATION
Acer rubrum L.,-70.869247,44.049306,2024,5,22,HUMAN_OBSERVATION
Acer rubrum L.,-70.65905,43.620483,2024,5,21,HUMAN_OBSERVATION
Acer rubrum L.,-69.782713,44.301957,2024,5,24,HUMAN_OBSERVATION
Acer rubrum L.,-68.329191,44.357255,2024,5,27,HUMAN_OBSERVATION
Acer rubrum L.,-70.443905,43.50983,2024,5,28,HUMAN_OBSERVATION
Acer rubrum L.,-70.661294,43.618758,2024,5,28,HUMAN_OBSERVATION
Acer rubrum L.,-68.22838,44.390567,2024,5,17,HUMAN_OBSERVATION
Acer rubrum L.,-70.871159,43.637479,2024,5,13,HUMAN_OBSERVATION
Acer rubrum L.,-68.856665,44.754799,2024,5,9,HUMAN_OBSERVATION
Acer rubrum L.,-70.478038,43.544626,2024,6,2,HUMAN_OBSERVATION
Acer rubrum L.,-68.417725,44.635617,2024,6,3,HUMAN_OBSERVATION
Acer rubrum L.,-68.882673,45.984105,2024,6,4,HUMAN_OBSERVATION
Acer rubrum L.,-69.784735,43.8729,2024,6,9,HUMAN_OBSERVATION
Acer rubrum L.,-68.59742,45.880292,2024,6,11,HUMAN_OBSERVATION
Acer rubrum L.,-68.77645,46.081653,2024,6,11,HUMAN_OBSERVATION
Acer rubrum L.,-68.777763,46.08722,2024,6,11,HUMAN_OBSERVATION
Acer rubrum L.,-68.246283,44.408369,2024,6,15,HUMAN_OBSERVATION
Acer rubrum L.,-68.232292,44.307903,2024,6,16,HUMAN_OBSERVATION
Acer rubrum L.,-70.450915,43.609472,2024,6,16,HUMAN_OBSERVATION
Acer rubrum L.,-68.25596,44.32508,2024,6,15,HUMAN_OBSERVATION
Acer rubrum L.,-68.25117,44.327915,2024,6,15,HUMAN_OBSERVATION
Acer rubrum L.,-68.185852,44.331855,2024,6,15,HUMAN_OBSERVATION
Acer rubrum L.,-68.186554,44.331944,2024,6,15,HUMAN_OBSERVATION
Acer rubrum L.,-68.19071,44.334755,2024,6,15,HUMAN_OBSERVATION
Acer rubrum L.,-68.19186,44.335888,2024,6,15,HUMAN_OBSERVATION
Acer rubrum L.,-68.19219,44.33568,2024,6,15,HUMAN_OBSERVATION
Acer rubrum L.,-68.1912,44.332832,2024,6,15,HUMAN_OBSERVATION
Acer rubrum L.,-68.18796,44.331528,2024,6,15,HUMAN_OBSERVATION
Acer rubrum L.,-69.729735,43.980882,2024,6,19,HUMAN_OBSERVATION
Acer rubrum L.,-69.729339,43.980788,2024,6,19,HUMAN_OBSERVATION
Acer rubrum L.,-68.339662,44.317313,2024,6,15,HUMAN_OBSERVATION
Acer rubrum var. rubrum,-69.561206,44.146149,2024,6,19,HUMAN_OBSERVATION
Acer rubrum L.,-68.109183,44.628055,2024,6,22,HUMAN_OBSERVATION
Acer rubrum L.,-70.535809,43.694266,2024,6,22,HUMAN_OBSERVATION
Acer rubrum L.,-67.853172,44.48549,2024,6,22,HUMAN_OBSERVATION
Acer rubrum L.,-67.85323,44.485838,2024,6,22,HUMAN_OBSERVATION
Acer rubrum L.,-70.42062,43.606047,2024,6,23,HUMAN_OBSERVATION
Acer rubrum L.,-67.936522,44.455744,2024,6,24,HUMAN_OBSERVATION
Acer rubrum L.,-70.685235,43.600142,2024,6,25,HUMAN_OBSERVATION
Acer rubrum L.,-68.024467,44.607386,2024,6,25,HUMAN_OBSERVATION
Acer rubrum L.,-69.323403,44.385795,2024,6,27,HUMAN_OBSERVATION
Acer rubrum L.,-68.209557,44.363766,2024,6,27,HUMAN_OBSERVATION
Acer rubrum L.,-68.124668,44.630075,2024,6,27,HUMAN_OBSERVATION
Acer rubrum L.,-68.086477,44.631357,2024,6,27,HUMAN_OBSERVATION
Acer rubrum L.,-68.217033,44.368437,2024,6,29,HUMAN_OBSERVATION
Acer rubrum L.,-70.926925,43.401553,2024,6,30,HUMAN_OBSERVATION
Acer rubrum L.,-67.787221,46.113751,2024,6,16,HUMAN_OBSERVATION
