scientificName,decimalLongitude,decimalLatitude,year,month,day,basisOfRecord
Betula papyrifera Marshall,-70.719857,43.976263,2025,1,3,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.154289,44.666323,2025,1,16,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.455175,43.685135,2025,1,30,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.450875,43.68515,2025,2,4,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.450592,43.485675,2024,1,4,HUMAN_OBSERVATION
Betula papyrifera Marshall,-67.796061,46.23234,2024,1,14,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.066346,44.339418,2024,1,15,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.06634,44.339409,2024,1,15,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.065587,44.340064,2024,1,15,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.621147,44.009869,2024,1,30,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.957306,43.880863,2024,2,9,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.312985,44.230042,2024,2,11,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.192356,44.314517,2024,2,26,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.176842,44.339287,2024,3,10,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.055888,44.380668,2024,3,12,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.575849,45.772183,2024,3,26,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.058061,44.366746,2024,4,9,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.792528,44.411113,2024,4,8,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.302169,44.235316,2024,4,14,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.190968,44.30699,2024,4,15,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.639065,44.178812,2024,4,22,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.893166,43.444427,2024,4,27,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.672504,45.453033,2024,4,7,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.207855,44.358605,2024,5,4,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.729667,43.980697,2024,5,7,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.300171,43.990473,2024,5,9,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.334542,43.45678,2024,5,9,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.571288,46.014103,2024,5,17,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.451272,43.484275,2024,5,16,HUMAN_OBSERVATION
Betula papyrifera Marshall,-67.933814,46.516596,2024,5,30,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.067975,44.223653,2024,5,29,HUMAN_OBSERVATION
Betula papyrifera Marshall,-67.813719,46.524922,2024,5,29,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.003353,45.881195,2024,5,22,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.228256,44.390038,2024,5,17,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.958244,43.942383,2024,5,31,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.183617,44.329728,2024,6,7,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.221825,44.369656,2024,6,11,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.323333,44.230187,2024,6,17,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.210876,44.366402,2024,6,27,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.217564,44.386458,2024,6,27,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.217564,44.386458,2024,6,27,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.088465,44.627687,2024,6,27,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.549063,43.345665,2024,6,9,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.440277,44.676025,2024,7,3,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.359183,44.043195,2024,7,5,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.732829,44.738128,2024,7,9,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.059393,44.336646,2024,7,10,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.285733,43.990358,2024,7,10,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.888887,44.530122,2024,7,12,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.932428,45.912613,2024,7,12,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.313035,44.230048,2024,7,24,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.18488,44.328051,2024,7,27,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.342672,43.975478,2024,7,30,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.74917,44.855378,2024,7,26,HUMAN_OBSERVATION
Betula papyrifera Marshall,-67.93437,46.515535,2024,7,31,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.9108,45.916,2024,7,24,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.350067,44.300163,2024,8,6,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.234519,43.690006,2024,8,6,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.25197,44.340287,2024,8,7,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.059519,44.336171,2024,8,6,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.074029,44.374588,2024,8,6,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.069307,45.196428,2024,8,8,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.342094,45.193638,2024,8,8,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.290338,45.263672,2024,8,8,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.326347,44.277138,2024,8,9,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.150192,44.193925,2024,8,10,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.637353,44.988237,2024,8,13,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.244537,44.339125,2024,8,13,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.244976,44.353917,2024,8,13,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.178931,44.186467,2024,8,22,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.879183,44.379731,2024,8,22,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.058594,44.235603,2024,8,23,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.814957,44.073129,2024,8,27,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.650003,44.0209,2024,8,21,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.611104,44.037007,2024,8,27,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.123927,44.883818,2024,8,29,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.657638,44.899972,2024,9,10,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.664349,44.902333,2024,9,11,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.664165,44.902154,2024,9,11,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.662088,44.907871,2024,9,11,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.667719,44.90077,2024,9,11,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.665426,44.896982,2024,9,11,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.665508,44.899606,2024,9,11,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.652176,44.898743,2024,9,11,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.210608,44.365507,2024,9,11,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.004047,44.40284,2024,9,12,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.319405,44.314552,2024,9,12,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.657447,44.900028,2024,9,12,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.650156,44.938436,2024,9,13,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.85303,44.178145,2024,9,14,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.004634,44.401642,2024,9,24,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.375411,45.070775,2024,9,22,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.778819,44.661004,2024,9,27,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.074088,44.215468,2024,9,27,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.674709,44.898761,2024,10,5,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.253356,44.322416,2024,10,5,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.949875,44.281508,2024,10,18,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.211267,44.363062,2024,10,24,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.295608,44.389437,2024,10,17,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.679504,44.571273,2024,10,29,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.637162,44.871267,2024,10,8,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.465864,44.831668,2024,10,8,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.192283,44.319937,2024,11,27,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.798594,44.024973,2024,11,7,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.913099,44.436496,2024,12,28,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.734,44.475613,2024,12,28,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.310154,44.154913,2023,1,9,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.261687,45.073601,2023,1,14,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.316238,44.307647,2023,1,15,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.456761,43.484057,2023,3,2,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.25516,43.625934,2023,3,3,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.298827,45.087557,2023,3,12,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.424873,43.721802,2023,4,6,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.869233,44.049028,2023,4,28,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.187883,44.342545,2023,4,26,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.349054,47.344477,2023,5,5,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.492395,43.956956,2023,5,10,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.070064,44.34675,2023,5,15,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.824181,43.441271,2023,5,19,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.473695,45.713372,2023,5,24,HUMAN_OBSERVATION
Betula papyrifera Marshall,-69.416879,43.97867,2023,6,1,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.046576,44.375064,2023,6,8,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.637019,43.530293,2023,6,9,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.857978,45.92212,2023,6,13,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.93127,44.829045,2023,6,3,HUMAN_OBSERVATION
Betula papyrifera Marshall,-67.9329,44.459497,2023,7,7,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.731246,43.649175,2023,7,22,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.387481,43.471764,2023,7,15,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.229073,44.384526,2023,7,13,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.528373,43.826891,2023,7,24,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.528163,43.826228,2023,7,25,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.544427,44.74813,2023,7,20,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.210749,44.365973,2023,8,1,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.689898,44.90218,2023,8,9,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.533212,43.554123,2023,8,22,HUMAN_OBSERVATION
Betula papyrifera Marshall,-70.387017,43.477795,2023,8,23,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.210412,44.364987,2023,8,29,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.885445,45.921082,2023,8,24,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.195412,44.314113,2023,9,3,HUMAN_OBSERVATION
Betula papyrifera Marshall,-68.293717,44.32664,2023,9,8,HUMAN_OBSERVATION
