scientificName,decimalLongitude,decimalLatitude,year,month,day,basisOfRecord
Pinus strobus L.,-70.724234,43.98136,2025,1,3,HUMAN_OBSERVATION
Pinus strobus L.,-69.855627,44.490497,2025,1,4,HUMAN_OBSERVATION
Pinus strobus L.,-70.41275,43.691446,2025,1,4,HUMAN_OBSERVATION
Pinus strobus L.,-67.109177,45.081202,2025,1,10,HUMAN_OBSERVATION
Pinus strobus L.,-70.67715,43.980679,2025,1,10,HUMAN_OBSERVATION
Pinus strobus L.,-68.762474,44.708617,2025,1,13,HUMAN_OBSERVATION
Pinus strobus L.,-70.154606,44.666261,2025,1,16,HUMAN_OBSERVATION
Pinus strobus L.,-70.154621,44.666263,2025,1,16,HUMAN_OBSERVATION
Pinus strobus L.,-70.362454,43.592288,2025,1,15,HUMAN_OBSERVATION
Pinus strobus L.,-70.147103,44.678292,2025,1,17,HUMAN_OBSERVATION
Pinus strobus L.,-68.4105,44.670963,2025,1,19,HUMAN_OBSERVATION
Pinus strobus L.,-70.449165,43.680162,2025,1,28,HUMAN_OBSERVATION
Pinus strobus L.,-70.449088,43.680233,2025,1,28,HUMAN_OBSERVATION
Pinus strobus L.,-70.449084,43.68023,2025,1,28,HUMAN_OBSERVATION
Pinus strobus L.,-70.449068,43.680288,2025,1,28,HUMAN_OBSERVATION
Pinus strobus L.,-70.448995,43.680231,2025,1,28,HUMAN_OBSERVATION
Pinus strobus L.,-70.449253,43.680175,2025,1,28,HUMAN_OBSERVATION
Pinus strobus L.,-70.449381,43.680619,2025,1,28,HUMAN_OBSERVATION
Pinus strobus L.,-70.449282,43.680192,2025,1,28,HUMAN_OBSERVATION
Pinus strobus L.,-70.449294,43.680179,2025,1,28,HUMAN_OBSERVATION
Pinus strobus L.,-70.449225,43.680251,2025,1,28,HUMAN_OBSERVATION
Pinus strobus L.,-70.449221,43.680195,2025,1,28,HUMAN_OBSERVATION
Pinus strobus L.,-70.449534,43.680132,2025,1,28,HUMAN_OBSERVATION
Pinus strobus L.,-70.449062,43.680246,2025,1,28,HUMAN_OBSERVATION
Pinus strobus L.,-68.176967,44.338322,2025,1,25,HUMAN_OBSERVATION
Pinus strobus L.,-70.449226,43.680195,2025,1,30,HUMAN_OBSERVATION
Pinus strobus L.,-70.449213,43.680235,2025,1,30,HUMAN_OBSERVATION
Pinus strobus L.,-70.449248,43.680281,2025,1,30,HUMAN_OBSERVATION
Pinus strobus L.,-70.449044,43.680308,2025,1,30,HUMAN_OBSERVATION
Pinus strobus L.,-70.449318,43.680173,2025,1,30,HUMAN_OBSERVATION
Pinus strobus L.,-70.449252,43.680226,2025,1,30,HUMAN_OBSERVATION
Pinus strobus L.,-70.449093,43.680212,2025,1,30,HUMAN_OBSERVATION
Pinus strobus L.,-70.449487,43.680133,2025,1,30,HUMAN_OBSERVATION
Pinus strobus L.,-70.449192,43.68016,2025,1,30,HUMAN_OBSERVATION
Pinus strobus L.,-70.4492,43.680196,2025,1,30,HUMAN_OBSERVATION
Pinus strobus L.,-70.451417,43.684263,2025,1,30,HUMAN_OBSERVATION
Pinus strobus L.,-70.2976,43.774017,2025,2,3,HUMAN_OBSERVATION
Pinus strobus L.,-70.45272,43.680787,2025,2,3,HUMAN_OBSERVATION
Pinus strobus L.,-68.256272,44.37311,2025,2,4,HUMAN_OBSERVATION
Pinus strobus L.,-70.453525,43.668847,2025,2,5,HUMAN_OBSERVATION
Pinus strobus L.,-69.950632,43.880504,2025,2,5,HUMAN_OBSERVATION
Pinus strobus L.,-69.509287,45.285697,2024,1,3,HUMAN_OBSERVATION
Pinus strobus L.,-69.05093,44.272431,2024,1,3,HUMAN_OBSERVATION
Pinus strobus L.,-70.878708,44.399017,2024,1,4,HUMAN_OBSERVATION
Pinus strobus L.,-70.790544,44.402817,2024,1,4,HUMAN_OBSERVATION
Pinus strobus L.,-70.790767,44.402792,2024,1,4,HUMAN_OBSERVATION
Pinus strobus L.,-70.343764,44.20096,2024,1,5,HUMAN_OBSERVATION
Pinus strobus L.,-70.146481,44.678016,2024,1,8,HUMAN_OBSERVATION
Pinus strobus L.,-68.669975,44.383408,2024,1,12,HUMAN_OBSERVATION
Pinus strobus L.,-70.37232,43.695665,2024,1,12,HUMAN_OBSERVATION
Pinus strobus L.,-70.195555,44.486887,2024,1,13,HUMAN_OBSERVATION
Pinus strobus L.,-68.260434,44.377388,2024,1,15,HUMAN_OBSERVATION
Pinus strobus L.,-69.815497,43.893938,2024,1,14,HUMAN_OBSERVATION
Pinus strobus L.,-70.34948,43.59438,2024,1,22,HUMAN_OBSERVATION
Pinus strobus L.,-70.349822,43.595622,2024,1,22,HUMAN_OBSERVATION
Pinus strobus L.,-69.172991,45.111208,2024,1,21,HUMAN_OBSERVATION
Pinus strobus L.,-68.288908,44.403951,2024,1,21,HUMAN_OBSERVATION
Pinus strobus L.,-68.28162,44.313958,2024,1,24,HUMAN_OBSERVATION
Pinus strobus L.,-68.28162,44.313958,2024,1,24,HUMAN_OBSERVATION
Pinus strobus L.,-68.275208,44.314666,2024,1,24,HUMAN_OBSERVATION
Pinus strobus L.,-68.275208,44.314666,2024,1,24,HUMAN_OBSERVATION
Pinus strobus L.,-68.27507,44.314738,2024,1,24,HUMAN_OBSERVATION
Pinus strobus L.,-70.622445,44.009486,2024,1,30,HUMAN_OBSERVATION
Pinus strobus L.,-70.26841,43.658321,2024,1,30,HUMAN_OBSERVATION
Pinus strobus L.,-70.698801,44.155134,2024,2,4,HUMAN_OBSERVATION
Pinus strobus L.,-70.449513,43.679897,2024,2,6,HUMAN_OBSERVATION
Pinus strobus L.,-70.449506,43.679837,2024,2,6,HUMAN_OBSERVATION
Pinus strobus L.,-70.450963,43.683478,2024,2,6,HUMAN_OBSERVATION
Pinus strobus L.,-70.473305,43.717732,2024,2,6,HUMAN_OBSERVATION
Pinus strobus L.,-70.449522,43.679838,2024,2,6,HUMAN_OBSERVATION
Pinus strobus L.,-70.452211,43.681393,2024,2,6,HUMAN_OBSERVATION
Pinus strobus L.,-70.452216,43.681459,2024,2,6,HUMAN_OBSERVATION
Pinus strobus L.,-70.453148,43.682117,2024,2,6,HUMAN_OBSERVATION
Pinus strobus L.,-70.452693,43.681058,2024,2,6,HUMAN_OBSERVATION
Pinus strobus L.,-70.449622,43.679883,2024,2,6,HUMAN_OBSERVATION
Pinus strobus L.,-69.959859,43.878603,2024,2,10,HUMAN_OBSERVATION
Pinus strobus L.,-68.740365,44.86328,2024,2,11,HUMAN_OBSERVATION
Pinus strobus L.,-69.632574,44.660846,2024,2,11,HUMAN_OBSERVATION
Pinus strobus L.,-69.85216,44.286976,2024,2,12,HUMAN_OBSERVATION
Pinus strobus L.,-68.256963,44.339585,2024,2,17,HUMAN_OBSERVATION
Pinus strobus L.,-70.816691,43.183392,2024,2,17,HUMAN_OBSERVATION
Pinus strobus L.,-68.72272,44.81851,2024,2,18,HUMAN_OBSERVATION
Pinus strobus L.,-68.658903,44.934577,2024,3,6,HUMAN_OBSERVATION
Pinus strobus L.,-70.783933,43.44911,2024,3,13,HUMAN_OBSERVATION
Pinus strobus L.,-70.780715,43.448313,2024,3,13,HUMAN_OBSERVATION
Pinus strobus L.,-70.344434,44.026403,2024,3,16,HUMAN_OBSERVATION
Pinus strobus L.,-68.293038,44.326035,2024,3,16,HUMAN_OBSERVATION
Pinus strobus L.,-68.296161,44.324158,2024,3,16,HUMAN_OBSERVATION
Pinus strobus L.,-69.966719,44.387819,2024,3,18,HUMAN_OBSERVATION
Pinus strobus L.,-69.966719,44.387819,2024,3,18,HUMAN_OBSERVATION
Pinus strobus L.,-70.23997,43.706396,2024,3,22,HUMAN_OBSERVATION
Pinus strobus L.,-70.242025,43.705065,2024,3,22,HUMAN_OBSERVATION
Pinus strobus L.,-70.241994,43.705045,2024,3,22,HUMAN_OBSERVATION
Pinus strobus L.,-70.328819,43.637789,2024,3,13,HUMAN_OBSERVATION
Pinus strobus L.,-70.545738,43.337142,2024,3,24,HUMAN_OBSERVATION
Pinus strobus L.,-68.692139,44.631089,2024,3,18,HUMAN_OBSERVATION
Pinus strobus L.,-69.77949,44.310544,2024,3,31,HUMAN_OBSERVATION
Pinus strobus L.,-69.77949,44.310544,2024,3,31,HUMAN_OBSERVATION
Pinus strobus L.,-69.363132,44.772123,2024,4,2,HUMAN_OBSERVATION
