scientificName,decimalLongitude,decimalLatitude,year,month,day,basisOfRecord
Tsuga canadensis (L.) Carrière,-70.724234,43.98136,2025,1,3,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.677971,43.982924,2025,1,10,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.154609,44.666278,2025,1,16,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.147549,44.67468,2025,1,16,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.147735,44.674654,2025,1,16,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.146989,44.678112,2025,1,17,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.147469,44.678762,2025,1,17,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.056224,46.726224,2025,1,11,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.289175,43.677056,2025,1,19,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-69.951819,43.880362,2025,1,21,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-69.812585,43.771067,2025,1,22,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.219208,43.85006,2025,1,26,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.453007,43.681586,2025,1,30,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.575211,43.657119,2025,1,30,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.45266,43.681367,2025,1,30,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.454845,43.685083,2025,1,30,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.452898,43.681613,2025,1,31,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.450756,43.68467,2025,1,30,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.453318,43.667092,2025,2,5,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.297194,43.673911,2025,2,6,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.270228,44.323737,2025,2,2,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-69.904795,44.233168,2024,1,2,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-69.509392,45.285633,2024,1,3,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.232353,44.587013,2024,1,2,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.146481,44.678016,2024,1,8,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.405463,44.025342,2024,1,6,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-69.173081,45.111449,2024,1,21,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.286341,44.400162,2024,1,21,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.288968,44.405622,2024,1,21,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.773125,45.64073,2024,1,28,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.624733,44.007725,2024,1,30,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.731012,44.47945,2024,2,2,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.579872,44.462108,2024,2,3,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.694816,44.14777,2024,2,4,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.302763,45.093608,2024,2,18,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.576369,45.773957,2024,2,27,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.386672,43.479308,2024,2,29,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.648852,44.289025,2024,2,28,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.503547,43.859001,2024,3,5,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.658264,44.935163,2024,3,6,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.658419,44.935026,2024,3,6,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.648852,44.289025,2024,3,4,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.333808,44.32105,2024,3,11,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-69.515659,45.306345,2024,3,12,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.781692,43.448028,2024,3,13,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.221064,44.362367,2024,3,13,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.251613,44.330194,2024,3,14,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-69.890504,43.924653,2024,3,14,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.344716,44.025308,2024,3,16,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.292698,44.325679,2024,3,16,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.544282,43.347546,2024,3,16,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.4092,44.06436,2024,3,17,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.345605,44.315201,2024,3,19,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.443597,44.146953,2024,3,17,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.240786,43.706174,2024,3,22,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.240769,43.706078,2024,3,22,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.240754,43.706109,2024,3,22,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.24078,43.706096,2024,3,22,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.24077,43.706141,2024,3,22,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.240739,43.70615,2024,3,22,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.691278,44.630039,2024,3,18,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.697272,44.618167,2024,3,18,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-69.834718,44.08632,2024,4,2,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.146275,44.677899,2024,4,10,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-69.785346,43.873189,2024,4,13,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-69.811735,43.814119,2024,4,16,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.147474,44.678225,2024,4,16,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.650898,44.318355,2024,4,12,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.243461,44.347143,2024,4,17,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.243082,44.345834,2024,4,17,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.235379,44.330833,2024,4,17,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.513969,43.402512,2024,4,18,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.414467,44.67108,2024,4,19,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.869195,44.049114,2024,4,26,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-68.251837,44.33197,2024,4,22,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-69.955391,43.957871,2024,4,27,HUMAN_OBSERVATION
Tsuga canadensis (L.) Carrière,-70.893166,43.444427,2024,4,27,HUMAN_OBSERVATION
